augmentation_index,blur_sigma,filename,font,fontsize,glyph,glyph_code,noise_sigma,rotation,scale,synthetic,tx,ty
0,0,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug00.png,synthetic_default,12,ఀ,3072,0,0,,True,,
1,0.04,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug01.png,synthetic_default,12,ఀ,3072,2.75,1.39,0.97,True,-2,2
2,0.63,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug02.png,synthetic_default,12,ఀ,3072,0.3,-4.13,0.97,True,2,2
3,0.3,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug03.png,synthetic_default,12,ఀ,3072,6.5,-4.73,1.0,True,-1,1
4,1.21,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug04.png,synthetic_default,12,ఀ,3072,0.06,0.89,1.03,True,1,0
5,0.32,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug05.png,synthetic_default,12,ఀ,3072,7.63,-2.22,0.96,True,1,-2
6,0.52,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug06.png,synthetic_default,12,ఀ,3072,2.65,-1.41,0.95,True,1,2
7,1.38,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug07.png,synthetic_default,12,ఀ,3072,0.79,-3.75,0.98,True,2,0
8,1.06,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug08.png,synthetic_default,12,ఀ,3072,0.46,0.77,0.97,True,0,-2
9,1.3,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug09.png,synthetic_default,12,ఀ,3072,3.8,3.55,1.0,True,0,-1
10,0.31,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug10.png,synthetic_default,12,ఀ,3072,2.67,-1.3,1.04,True,-2,2
11,0.8,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug11.png,synthetic_default,12,ఀ,3072,2.45,1.35,1.0,True,0,2
12,0.49,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug12.png,synthetic_default,12,ఀ,3072,7.68,-2.8,0.96,True,-2,0
13,0.1,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug13.png,synthetic_default,12,ఀ,3072,9.13,-0.99,1.01,True,0,-1
14,0.59,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug14.png,synthetic_default,12,ఀ,3072,9.15,1.55,1.0,True,0,-1
15,0.84,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug15.png,synthetic_default,12,ఀ,3072,2.63,-2.53,1.01,True,2,1
16,1.5,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug16.png,synthetic_default,12,ఀ,3072,1.38,-1.38,1.0,True,-2,-2
17,0.24,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug17.png,synthetic_default,12,ఀ,3072,6.8,-3.47,1.01,True,1,1
18,0.7,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug18.png,synthetic_default,12,ఀ,3072,2.51,0.96,1.01,True,-2,-2
19,0.81,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug19.png,synthetic_default,12,ఀ,3072,2.67,1.82,1.01,True,-2,0
20,0.68,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug20.png,synthetic_default,12,ఀ,3072,9.54,-0.65,1.04,True,0,2
21,0.76,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug21.png,synthetic_default,12,ఀ,3072,1.06,2.62,1.01,True,2,2
22,0.56,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug22.png,synthetic_default,12,ఀ,3072,1.62,-3.01,1.05,True,2,-2
23,0.73,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug23.png,synthetic_default,12,ఀ,3072,1.12,0.99,0.99,True,0,-1
24,1.32,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug24.png,synthetic_default,12,ఀ,3072,9.47,-4.42,0.96,True,1,-2
25,0.8,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug25.png,synthetic_default,12,ఀ,3072,1.26,4.78,1.02,True,2,-1
26,1.31,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug26.png,synthetic_default,12,ఀ,3072,4.23,-2.35,0.97,True,2,-1
27,0.6,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug27.png,synthetic_default,12,ఀ,3072,6.72,2.13,0.99,True,2,1
28,0.34,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug28.png,synthetic_default,12,ఀ,3072,3.38,-3.79,1.01,True,-1,2
29,0.11,data/raw/synthetic_default/12pt/synthetic_default_03072_12pt_aug29.png,synthetic_default,12,ఀ,3072,6.31,-2.8,0.97,True,-2,0
0,0,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug00.png,synthetic_default,12,ఁ,3073,0,0,,True,,
1,1.04,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug01.png,synthetic_default,12,ఁ,3073,1.44,-4.61,1.0,True,-2,1
2,0.91,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug02.png,synthetic_default,12,ఁ,3073,5.14,0.99,1.01,True,2,2
3,1.43,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug03.png,synthetic_default,12,ఁ,3073,3.94,3.87,0.96,True,-2,-2
4,0.14,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug04.png,synthetic_default,12,ఁ,3073,5.12,-1.24,1.0,True,1,2
5,0.41,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug05.png,synthetic_default,12,ఁ,3073,1.82,4.78,0.96,True,2,-2
6,0.09,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug06.png,synthetic_default,12,ఁ,3073,1.66,-3.13,0.98,True,-2,2
7,1.48,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug07.png,synthetic_default,12,ఁ,3073,8.14,1.24,1.02,True,-2,-2
8,0.69,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug08.png,synthetic_default,12,ఁ,3073,6.47,3.45,1.02,True,0,2
9,0.66,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug09.png,synthetic_default,12,ఁ,3073,1.26,1.64,0.96,True,0,-2
10,0.4,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug10.png,synthetic_default,12,ఁ,3073,7.28,3.76,1.02,True,-2,2
11,0.45,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug11.png,synthetic_default,12,ఁ,3073,8.99,1.63,1.02,True,0,1
12,1.45,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug12.png,synthetic_default,12,ఁ,3073,6.02,-4.59,0.96,True,-1,-2
13,1.1,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug13.png,synthetic_default,12,ఁ,3073,5.74,3.74,0.98,True,2,1
14,0.06,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug14.png,synthetic_default,12,ఁ,3073,0.03,-0.57,1.04,True,-2,-1
15,1.48,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug15.png,synthetic_default,12,ఁ,3073,9.04,2.35,1.04,True,0,-2
16,0.75,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug16.png,synthetic_default,12,ఁ,3073,9.37,2.17,1.02,True,0,1
17,0.05,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug17.png,synthetic_default,12,ఁ,3073,7.18,-4.13,1.03,True,1,-1
18,0.86,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug18.png,synthetic_default,12,ఁ,3073,2.6,1.85,1.01,True,0,1
19,0.28,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug19.png,synthetic_default,12,ఁ,3073,1.78,-1.53,1.03,True,-2,-1
20,0.33,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug20.png,synthetic_default,12,ఁ,3073,1.88,4.59,0.97,True,1,1
21,0.69,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug21.png,synthetic_default,12,ఁ,3073,0.61,-2.75,0.95,True,2,2
22,1.33,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug22.png,synthetic_default,12,ఁ,3073,5.04,3.47,1.0,True,-2,2
23,0.33,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug23.png,synthetic_default,12,ఁ,3073,4.49,-1.54,0.99,True,-1,-2
24,0.33,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug24.png,synthetic_default,12,ఁ,3073,5.66,-3.92,0.99,True,1,1
25,0.28,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug25.png,synthetic_default,12,ఁ,3073,1.16,-3.94,0.98,True,2,-1
26,0.23,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug26.png,synthetic_default,12,ఁ,3073,2.43,0.41,0.97,True,-2,0
27,1.4,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug27.png,synthetic_default,12,ఁ,3073,8.37,-0.21,1.03,True,1,0
28,0.33,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug28.png,synthetic_default,12,ఁ,3073,7.3,-3.58,1.0,True,-1,0
29,0.67,data/raw/synthetic_default/12pt/synthetic_default_03073_12pt_aug29.png,synthetic_default,12,ఁ,3073,7.23,0.69,1.05,True,0,2
0,0,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug00.png,synthetic_default,12,ం,3074,0,0,,True,,
1,0.81,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug01.png,synthetic_default,12,ం,3074,8.62,-0.91,0.97,True,-1,0
2,0.17,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug02.png,synthetic_default,12,ం,3074,0.09,-4.71,0.97,True,2,0
3,0.57,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug03.png,synthetic_default,12,ం,3074,4.05,1.94,1.02,True,0,0
4,1.26,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug04.png,synthetic_default,12,ం,3074,6.17,-4.26,0.96,True,-2,2
5,1.44,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug05.png,synthetic_default,12,ం,3074,1.08,-4.05,1.01,True,0,-2
6,0.14,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug06.png,synthetic_default,12,ం,3074,4.76,-1.55,0.97,True,-1,0
7,1.16,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug07.png,synthetic_default,12,ం,3074,0.43,2.47,1.05,True,1,-2
8,1.04,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug08.png,synthetic_default,12,ం,3074,8.44,2.39,1.03,True,0,1
9,0.88,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug09.png,synthetic_default,12,ం,3074,5.41,1.31,0.97,True,1,0
10,1.46,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug10.png,synthetic_default,12,ం,3074,7.38,1.16,0.98,True,-2,-1
11,0.87,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug11.png,synthetic_default,12,ం,3074,6.04,3.83,1.01,True,0,0
12,0.61,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug12.png,synthetic_default,12,ం,3074,3.61,0.63,0.96,True,-1,2
13,1.5,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug13.png,synthetic_default,12,ం,3074,7.61,2.17,1.02,True,1,-2
14,1.4,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug14.png,synthetic_default,12,ం,3074,7.35,-3.57,0.95,True,0,-2
15,0.01,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug15.png,synthetic_default,12,ం,3074,2.74,-2.28,1.02,True,-1,-2
16,1.44,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug16.png,synthetic_default,12,ం,3074,2.63,-2.21,0.96,True,2,2
17,1.2,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug17.png,synthetic_default,12,ం,3074,0.65,-1.7,1.0,True,1,1
18,1.32,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug18.png,synthetic_default,12,ం,3074,4.5,-1.98,0.98,True,-1,-1
19,0.11,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug19.png,synthetic_default,12,ం,3074,4.42,1.57,1.02,True,1,-2
20,0.86,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug20.png,synthetic_default,12,ం,3074,1.33,-2.26,1.02,True,2,0
21,1.05,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug21.png,synthetic_default,12,ం,3074,5.6,-2.57,0.96,True,0,1
22,1.48,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug22.png,synthetic_default,12,ం,3074,4.53,1.92,0.96,True,2,0
23,0.48,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug23.png,synthetic_default,12,ం,3074,3.25,0.28,1.0,True,-2,-2
24,0.61,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug24.png,synthetic_default,12,ం,3074,6.35,4.15,1.02,True,1,1
25,0.95,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug25.png,synthetic_default,12,ం,3074,9.52,0.75,1.0,True,-1,-1
